,,Date,Close
Name,TechStock,01/03/2023,246.27
MICROSOFT CORPORATION (XNAS:MSFT),MSFT,02/03/2023,251.11
,,03/03/2023,255.29
,,06/03/2023,256.87
,,07/03/2023,254.15
,,08/03/2023,253.70
,,09/03/2023,252.32
,,10/03/2023,248.59
,,13/03/2023,253.92
,,14/03/2023,260.79
,,15/03/2023,265.44
,,16/03/2023,276.20
,,17/03/2023,279.43
,,20/03/2023,272.23
,,21/03/2023,273.78
,,22/03/2023,272.29
,,23/03/2023,277.66
,,24/03/2023,280.57
,,27/03/2023,276.38
,,28/03/2023,275.23
,,29/03/2023,280.51
,,30/03/2023,284.05
,,31/03/2023,288.30
,,03/04/2023,287.23
,,04/04/2023,287.18
,,,
