Sr #,Tech Stocks,Previous Closing Pice,Previous Closing Date,Price,Open,High ,Low
1,APPLE INC. (XNAS:AAPL), $164.90 ,03/04/2023, $164.69 , $164.39 , $165.89 , $164.27 
2,MICROSOFT CORPORATION (XNAS:MSFT), $288.30 ,03/04/2023, $284.88 , $286.53 , $288.27 , $283.95 
3,ALPHABET INC. (XNAS:GOOG), $104.00 ,03/04/2023, $103.39 , $102.50 , $104.12 , $102.38 
4,"AMAZON.COM, INC. (XNAS:AMZN)", $103.29 ,03/04/2023, $101.72 , $102.25 , $103.29 , $101.58 
5,NVIDIA CORPORATION (XNAS:NVDA), $277.77 ,03/04/2023, $275.03 , $275.00 , $279.91 , $273.36 
6,"TESLA, INC. (XNAS:TSLA)", $207.46 ,03/04/2023, $192.54 , $200.00 , $202.69 , $192.20 
7,"Meta Platforms, Inc. (XNAS:META)", $211.94 ,03/04/2023, $210.80 , $208.58 , $211.74 , $208.20 
8,Alibaba Group Holding Limited (XNYS:BABA), $102.18 ,03/04/2023, $97.91 , $100.93 , $101.75 , $97.85 
9,"SALESFORCE, INC. (XNYS:CRM)", $199.78 ,03/04/2023, $195.92 , $198.22 , $198.93 , $195.53 
10,INTEL CORPORATION (XNAS:INTC), $32.67 ,03/04/2023, $32.75 , $32.90 , $33.56 , $32.54 
11,"ADVANCED MICRO DEVICES, INC. (XNAS:AMD)", $98.01 ,03/04/2023, $95.36 , $96.79 , $96.79 , $94.81 
12,"PAYPAL HOLDINGS, INC. (XNAS:PYPL)", $75.94 ,03/04/2023, $74.92 , $75.44 , $75.92 , $74.71 
13,"ACTIVISION BLIZZARD, INC. (XNAS:ATVI)", $85.59 ,03/04/2023, $84.72 , $85.54 , $85.67 , $84.62 
14,ELECTRONIC ARTS INC. (XNAS:EA), $120.45 ,03/04/2023, $120.66 , $120.14 , $120.96 , $119.60 
15,"THE TRADE DESK, INC. (XNAS:TTD)", $60.91 ,03/04/2023, $59.91 , $60.00 , $60.37 , $59.20 
16,"MATCH GROUP, INC. (XNAS:MTCH)", $38.39 ,03/04/2023, $38.23 , $37.89 , $38.87 , $37.89 
17,"ZILLOW GROUP, INC. (XNAS:ZG)", $43.70 ,03/04/2023, $43.61 , $43.09 , $43.83 , $42.86 
18,YELP INC. (XNYS:YELP), $30.70 ,03/04/2023, $30.43 , $30.53 , $30.66 , $30.24 
