Name,TechStock, $173.42 , $174.53 , $185.25 , $184.90 , $184.51 , $184.97 , $181.69 , $179.51 , $180.90 , $194.02 , $197.75 , $204.93 , $195.61 , $197.81 , $202.16 , $199.81 , $204.28 , $206.01 , $202.84 , $200.68 , $205.35 , $207.84 , $211.94 , $213.07 , $214.72 
"Meta Platforms, Inc. (XNAS:META)",Meta,21/06/1900, $174.53 , $185.25 , $184.90 , $184.51 , $184.97 , $181.69 , $179.51 , $180.90 , $194.02 , $197.75 , $204.93 , $195.61 , $197.81 , $202.16 , $199.81 , $204.28 , $206.01 , $202.84 , $200.68 , $205.35 , $207.84 , $211.94 , $213.07 , $214.72 
ALPHABET INC. (XNAS:GOOG),GOOG,30/03/1900, $92.31 , $94.02 , $95.58 , $94.17 , $94.65 , $92.66 , $91.01 , $91.66 , $94.25 , $96.55 , $101.07 , $102.46 , $101.93 , $105.84 , $104.22 , $106.26 , $106.06 , $103.06 , $101.36 , $101.90 , $101.32 , $104.00 , $104.91 , $105.12 
MICROSOFT CORPORATION (XNAS:MSFT),MSFT,02/09/1900, $251.11 , $255.29 , $256.87 , $254.15 , $253.70 , $252.32 , $248.59 , $253.92 , $260.79 , $265.44 , $276.20 , $279.43 , $272.23 , $273.78 , $272.29 , $277.66 , $280.57 , $276.38 , $275.23 , $280.51 , $284.05 , $288.30 , $287.23 , $287.18 
APPLE INC. (XNAS:AAPL),AAPL,24/05/1900, $145.91 , $151.03 , $153.83 , $151.60 , $152.87 , $150.59 , $148.50 , $150.47 , $152.59 , $152.99 , $155.85 , $155.00 , $157.40 , $159.28 , $157.83 , $158.93 , $160.25 , $158.28 , $157.65 , $160.77 , $162.36 , $164.90 , $166.17 , $165.63 
"AMAZON.COM, INC. (XNAS:AMZN)",AMZN,01/04/1900, $92.13 , $94.90 , $93.75 , $93.55 , $93.92 , $92.25 , $90.73 , $92.43 , $94.88 , $96.20 , $100.04 , $98.95 , $97.71 , $100.61 , $98.70 , $98.71 , $98.13 , $98.04 , $97.24 , $100.25 , $102.00 , $103.29 , $102.41 , $103.95 
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
