TechStocks,Date,Open,High,Low,Close,Price
APPLE INC. (XNAS:AAPL),04/04/2023, $164.27 , $166.29 , $164.22 , $164.90 , $166.17 
MICROSOFT CORPORATION (XNAS:MSFT),03/04/2023, $286.52 , $288.27 , $283.95 , $288.30 , $287.23 
ALPHABET INC. (XNAS:GOOG),03/04/2023, $102.67 , $104.95 , $102.38 , $104.00 , $104.91 
"AMAZON.COM, INC. (XNAS:AMZN)",03/04/2023, $102.30 , $103.29 , $101.43 , $103.29 , $102.41 
NVIDIA CORPORATION (XNAS:NVDA),04/04/2023, $275.09 , $280.00 , $273.36 , $277.77 , $279.65 
"TESLA, INC. (XNAS:TSLA)",04/04/2023, $199.91 , $202.69 , $192.20 , $207.46 , $194.77 
"Meta Platforms, Inc. (XNAS:META)",03/04/2023, $208.84 , $213.49 , $208.20 , $211.94 , $213.07 
Alibaba Group Holding Limited (XNYS:BABA),03/04/2023, $100.89 , $101.75 , $97.61 , $102.18 , $98.39 
"SALESFORCE, INC. (XNYS:CRM)",03/04/2023, $198.22 , $198.93 , $195.53 , $199.78 , $196.49 
INTEL CORPORATION (XNAS:INTC),03/04/2023, $32.94 , $33.56 , $32.54 , $32.67 , $32.89 
"ADVANCED MICRO DEVICES, INC. (XNAS:AMD)",03/04/2023, $96.70 , $96.79 , $94.81 , $98.01 , $96.56 
"PAYPAL HOLDINGS, INC. (XNAS:PYPL)",03/04/2023, $75.63 , $75.92 , $74.71 , $75.94 , $75.29 
"ACTIVISION BLIZZARD, INC. (XNAS:ATVI)",03/04/2023, $85.41 , $85.67 , $84.46 , $85.59 , $85.33 
ELECTRONIC ARTS INC. (XNAS:EA),03/04/2023, $120.14 , $121.65 , $119.60 , $120.45 , $121.35 
"THE TRADE DESK, INC. (XNAS:TTD)",03/04/2023, $60.00 , $60.64 , $59.20 , $60.91 , $60.46 
"MATCH GROUP, INC. (XNAS:MTCH)",03/04/2023, $37.89 , $38.87 , $37.89 , $38.39 , $38.45 
"ZILLOW GROUP, INC. (XNAS:ZG)",03/04/2023, $43.09 , $44.08 , $42.85 , $43.70 , $43.95 
YELP INC. (XNYS:YELP),03/04/2023, $30.39 , $30.76 , $30.24 , $30.70 , $30.76 
